cairo 1.18.4
fontconfig 2.17.1
freetype 2.14.1_1
gettext 1.0
gh 2.86.0
giflib 5.2.2
git 2.52.0_1
glib 2.86.3
gradle 9.3.1
gradle-completion 9.3.1
graphite2 1.3.14
harfbuzz 12.3.2
icu4c@78 78.2
jpeg-turbo 3.1.3
libiconv 1.18
libpng 1.6.54_1
libtiff 4.7.1_1
libunistring 1.4.1
libx11 1.8.13
libxau 1.0.12
libxcb 1.17.0
libxdmcp 1.1.5
libxext 1.3.7
libxrender 0.9.12
little-cms2 2.18
lz4 1.10.0
lzo 2.10
openjdk 25.0.2
pcre2 10.47_1
pixman 0.46.4
remindctl 0.1.1
summarize 0.10.0
uv 0.9.28
xorgproto 2025.1
xz 5.8.2
zstd 1.5.7_1
android-commandlinetools 14742923
ollama-app 0.15.2
temurin@17 17.0.18,8
